0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
196397161.48376465,16713087.260723114,93872094.15435791,1109606.772661209,2920462.004840374,4022650.420665741,54347062.11090088,495229578.0181885,855424499.5117188,151424813.27056885,17767222.225666046,51198321.58088684,9640142.321586609,6433057.03997612,37952053.54690552,14148612.320423126,5280185.490846634,20772787.928581238,17429870.36705017,3503174.3347644806,439995.7600980997,20930802.822113037,892977.8821766376,23190717.39912033,39951279.75940704,44924736.02294922,198087108.1352234,42308.97466186434,122449135.78033447,8774189.65101242,76258.0893933773,2112503.5360455513,29144528.50818634,501520156.86035156,1256877899.1699219,203155779.838562,11010879.278182983,18437440.69337845,38200139.99938965,14921101.927757263,2865737.4903559685,2081085.927784443,1868193.4103369713,849147.6066410542,7492545.992136002,26165315.50884247,8032618.463039398,402818.2476758957,5852423.23577404,3446252.6440620422,9298990.666866302,3041003.2719373703
245229220.39031982,10548459.738492966,128413236.14120483,2126172.7437376976,3689917.176961899,1987934.485077858,6753768.026828766,114780735.96954346,621627712.2497559,78892993.92700195,134331619.73953247,24944372.475147247,7924579.828977585,507.62591854436323,1797384.0236663818,3068221.1741805077,2174359.0012192726,15278597.176074982,12940211.594104767,173768.40114593506,7719777.524471283,943932.1234822273,36682385.206222534,45520058.274269104,54796278.47671509,20393352.210521698,414972829.8187256,8881875.12755394,136812865.73410034,5861789.360642433,4136491.1943674088,1685418.5611009598,59165036.67831421,345590209.9609375,649389743.8049316,448422145.84350586,1323387.3061835766,6788203.120231628,9829631.447792053,1680688.001215458,14904278.51676941,5390703.305602074,1784867.9795861244,2074917.9646372795,988806.9704174995,489283.35309028625,696930.7083636522,14128106.832504272,6844429.671764374,15501348.674297333,11402601.74870491,747111.3000065088
134288454.05578613,18865273.892879486,196648740.76843262,13536809.384822845,19480215.01302719,166188.7508817017,4895128.309726715,137585282.32574463,345505833.62579346,171205627.9182434,19272765.517234802,61495977.64015198,97973984.47990417,3182077.780365944,4248961.806297302,2173717.5062298775,8087779.581546783,19442740.082740784,18921239.67409134,32648.711930960417,18261080.980300903,57786709.07020569,251253.6710128188,680578.6862969398,18604986.369609833,11189305.037260056,160157036.78131104,19001743.1974411,45536780.35736084,5419269.2041397095,3150085.7323408127,2946702.018380165,21937611.69910431,312548375.1296997,573863697.052002,326083254.81414795,66913855.07583618,25094491.243362427,28819924.5929718,12626151.740550995,11441335.082054138,35332751.27410889,755786.4766567945,2173361.9272708893,2145337.68594265,89486587.0475769,13851.324911229312,5478004.738688469,10906263.440847397,4402389.004826546,3893212.9740715027,958664.2496287823
261350584.03015137,1561089.139431715,210457205.7723999,1466486.4167571068,44592112.30278015,12504437.565803528,31897199.153900146,315481495.85723877,412500143.05114746,200852966.30859375,18844491.243362427,96045637.1307373,76581203.93753052,5587194.487452507,974820.6473886967,421672.36097157,180071.45263254642,1882779.784500599,348246.65635824203,9983339.16068077,359822.2276195884,14512774.348258972,6256359.815597534,17421366.274356842,28748708.963394165,4178664.8333072662,202204656.60095215,247872.4578395486,52521163.22517395,3424686.5659952164,90644.6308363229,3717403.4863710403,124309587.4786377,420366907.119751,410894823.0743408,297742724.41864014,29970425.367355347,4143970.4596996307,3018545.3593730927,17926792.800426483,45369988.679885864,12157091.498374939,9280709.17725563,3301.58909491729,19148342.311382294,5588952.079415321,21199503.540992737,772903.5802185535,513147.51617610455,2994522.452354431,18918117.880821228,9411900.490522385
250839543.34259033,2230210.229754448,382333683.96759033,368994.05531585217,27859237.790107727,35175737.738609314,54044514.89448547,189530098.43826294,310931634.9029541,161878526.2107849,40435382.72380829,42273044.58618164,19612522.423267365,4766269.028186798,3624637.797474861,1177901.1227190495,835491.0649359226,2856411.226093769,138714.3856845796,5948992.073535919,4580586.776137352,10034111.142158508,1965767.1451568604,15039493.143558502,46755510.568618774,2635570.243000984,207406783.10394287,1400448.9406943321,189002835.75057983,3351502.865552902,952085.2006971836,24090.067017823458,38360425.82988739,297974038.1240845,322216510.7727051,197291326.52282715,12085510.790348053,12133197.486400604,13099287.450313568,780715.9796357155,31769669.05593872,547538.6045873165,1631954.6848535538,4931081.831455231,434440.84003567696,12582714.855670929,2173418.737947941,8081767.708063126,6755.336653441191,2197162.9932522774,1703405.9390425682,4081737.622618675
123072481.15539551,1210655.7376682758,285204052.92510986,69.9020347383339,64396876.096725464,32391852.140426636,70034271.47865295,242009806.6329956,379416751.86157227,56196540.59410095,4455220.699310303,11651104.68864441,49559777.9750824,15802675.485610962,545279.5419842005,14236904.680728912,124542.53155738115,20724344.25354004,799626.0188519955,30177143.216133118,5729908.123612404,17898157.238960266,8170774.579048157,40947854.51889038,59511584.04350281,3469621.390104294,235659050.9414673,144500.37851929665,32929518.818855286,434194.5517808199,7033.44339854084,30792742.96760559,40367355.942726135,407379293.44177246,241792798.04229736,105537939.07165527,6928241.99795723,16226260.364055634,16770090.162754059,1202426.292002201,50598281.62193298,37661.0696548596,9188307.82175064,33440649.50942993,6375450.640916824,1217719.9125289917,4802347.347140312,2431012.6900672913,243357.94150829315,2280598.506331444,423.5238975525135,11269131.302833557
270313906.6696167,2946768.8873410225,202950787.5442505,2450568.787753582,14451542.496681213,5582379.922270775,189344.8643386364,57222795.486450195,300365924.8352051,144222915.1725769,64500051.736831665,57375413.17939758,23394404.351711273,5507002.770900726,149797.95087128878,854218.564927578,5316698.5511779785,2765239.402651787,16087086.498737335,1628284.715116024,9930361.062288284,1398737.2629344463,40406370.16296387,22488176.822662354,26306542.75417328,4757412.895560265,273956084.2514038,113527.34873071313,160831773.2810974,4399445.652961731,1093720.0859189034,4468202.963471413,63616883.754730225,286402249.3362427,550299406.0516357,352872323.98986816,10671846.568584442,10502138.73386383,4810535.5352163315,8325930.684804916,28810396.790504456,46189528.703689575,3970352.9328107834,8826067.298650742,11214999.854564667,850138.3475959301,4669510.945677757,244920.3049764037,34089.36609048396,26728069.78225708,20611853.897571564,5975024.402141571
58617490.53001404,5899936.705827713,195100343.22738647,6129000.708460808,1527517.1026587486,13396000.862121582,26138377.18963623,182972121.2387085,444596004.486084,163384890.55633545,55442571.64001465,15679818.391799927,75275349.6170044,4093420.5055236816,5812356.248497963,1514919.28845644,6170801.818370819,20324.252545833588,1229832.8801989555,65382.441971451044,36471.078055910766,173796.65514454246,30666914.582252502,5791142.582893372,13763630.390167236,1161016.8032348156,56110799.31259155,24939620.49484253,43433967.23270416,176646.513864398,7934022.694826126,1219606.7720651627,66855555.77278137,275854969.0246582,353428840.63720703,321179533.00476074,6418487.429618835,8607137.948274612,14463065.564632416,6285706.162452698,43900382.51876831,47886809.70668793,825538.2999777794,1455867.1973645687,519360.089674592,5966791.13805294,2047929.7265410423,5024150.013923645,4477342.218160629,555687.9565119743,1480189.2451941967,4952277.24313736
215445399.2843628,930782.3143899441,136376178.26461792,3684090.8229351044,32584550.976753235,4777148.738503456,25070130.825042725,162747645.3781128,179081869.1253662,128306949.13864136,20051959.15699005,14190499.484539032,2120419.219136238,5579008.907079697,1085904.79940176,137354.41025346518,3842.1625504270196,10457473.248243332,5240934.71467495,5597849.190235138,9973181.039094925,43880993.127822876,7204800.844192505,39419433.47454071,79153275.48980713,21484555.304050446,147925817.96646118,653803.9073348045,30024322.867393494,30344450.4737854,151590.61877056956,268991.29152297974,36211842.29850769,425912904.7393799,406589651.1077881,368422174.45373535,42598804.83150482,874028.0754864216,2419600.822031498,54421.53196781874,63445055.48477173,16180248.55852127,5371853.709220886,44612.816418521106,5316587.910056114,28495815.3963089,453810.8129054308,1623784.0056419373,15821722.149848938,23755119.740962982,9421855.956315994,184901.90850570798
91696017.98057556,214612.97292262316,42565479.8746109,3930772.0959186554,26677027.344703674,14533823.728561401,7142113.149166107,117483246.32644653,656466627.1209717,143033528.3279419,18165284.395217896,148703789.71099854,58505982.16056824,7855704.426765442,210468.21493655443,5467561.259865761,5834360.793232918,18871077.89516449,2971343.1373238564,47800.439642742276,31493.062851950526,48670050.501823425,188064.42385539412,514367.9678440094,19491754.472255707,11388414.353132248,109059333.80126953,25690.734037198126,47380492.091178894,7790762.186050415,66110.52085645497,6940481.811761856,83754628.89671326,355723667.1447754,666173982.6202393,238981676.10168457,25199469.923973083,77045840.02494812,67894357.44285583,48324099.18308258,6127864.122390747,3586993.3664798737,403603.39917242527,1984553.039073944,2562151.849269867,26537591.218948364,294873.30466508865,41501.305531710386,10843522.101640701,9858901.053667068,17542895.674705505,2413567.341864109
